,data_year,county_name,Total Violent Crime
2920,2020,SANTA CLARA,470.0
2921,2021,SANTA CLARA,137.0
2922,2022,SANTA CLARA,425.0
2923,2017,SANTA CLARA,66.0
2924,2018,SANTA CLARA,49.0
2925,2019,SANTA CLARA,60.0
2926,2020,SANTA CLARA,35.0
2927,2021,SANTA CLARA,2.0
2928,2022,SANTA CLARA,27.0
2929,2017,SANTA CLARA,3.0
2930,2018,SANTA CLARA,5.0
2931,2019,SANTA CLARA,3.0
2932,2020,SANTA CLARA,1.0
2933,2022,SANTA CLARA,1.0
2934,2017,SANTA CLARA,1.0
2935,2018,SANTA CLARA,2.0
2936,2019,SANTA CLARA,1.0
2937,2020,SANTA CLARA,0.0
2938,2022,SANTA CLARA,1.0
2939,2017,SANTA CLARA,9.0
2940,2018,SANTA CLARA,3.0
2941,2019,SANTA CLARA,7.0
2942,2020,SANTA CLARA,1.0
2943,2022,SANTA CLARA,0.0
2944,2017,SANTA CLARA,0.0
2945,2018,SANTA CLARA,0.0
2946,2019,SANTA CLARA,0.0
2947,2020,SANTA CLARA,0.0
2948,2020,SANTA CLARA,7.0
2949,2022,SANTA CLARA,28.0
2950,2017,SANTA CLARA,119.0
2951,2018,SANTA CLARA,151.0
2952,2019,SANTA CLARA,100.0
2953,2020,SANTA CLARA,108.0
2954,2022,SANTA CLARA,105.0
2955,2021,SANTA CLARA,0.0
2956,2022,SANTA CLARA,0.0
2957,2021,SANTA CLARA,0.0
2958,2022,SANTA CLARA,1.0
2959,2017,SANTA CRUZ,634.0
2960,2018,SANTA CRUZ,679.0
2961,2019,SANTA CRUZ,736.0
2962,2020,SANTA CRUZ,619.0
2963,2021,SANTA CRUZ,102.0
2964,2022,SANTA CRUZ,481.0
2965,2017,SANTA CRUZ,77.0
2966,2018,SANTA CRUZ,61.0
2967,2019,SANTA CRUZ,64.0
2968,2020,SANTA CRUZ,56.0
2969,2022,SANTA CRUZ,50.0
2970,2017,SANTA CRUZ,566.0
2971,2018,SANTA CRUZ,499.0
2972,2019,SANTA CRUZ,543.0
2973,2020,SANTA CRUZ,441.0
2974,2022,SANTA CRUZ,483.0
2975,2017,SANTA CRUZ,361.0
2976,2018,SANTA CRUZ,357.0
2977,2019,SANTA CRUZ,354.0
2978,2020,SANTA CRUZ,320.0
2979,2022,SANTA CRUZ,363.0
2980,2017,SANTA CRUZ,34.0
2981,2018,SANTA CRUZ,48.0
2982,2019,SANTA CRUZ,40.0
2983,2020,SANTA CRUZ,29.0
2984,2021,SANTA CRUZ,6.0
2985,2022,SANTA CRUZ,40.0
2986,2017,SANTA CRUZ,0.0
2987,2019,SANTA CRUZ,0.0
2988,2017,SANTA CRUZ,9.0
2989,2018,SANTA CRUZ,14.0
2990,2019,SANTA CRUZ,17.0
2991,2020,SANTA CRUZ,13.0
2992,2021,SANTA CRUZ,2.0
2993,2022,SANTA CRUZ,4.0
2994,2017,SANTA CRUZ,11.0
2995,2018,SANTA CRUZ,16.0
2996,2019,SANTA CRUZ,10.0
2997,2020,SANTA CRUZ,5.0
2998,2021,SANTA CRUZ,6.0
2999,2022,SANTA CRUZ,11.0
3000,2021,SANTA CRUZ,0.0
3001,2022,SANTA CRUZ,0.0
3002,2017,SHASTA,35.0
3003,2018,SHASTA,28.0
3004,2019,SHASTA,18.0
3005,2020,SHASTA,10.0
3006,2022,SHASTA,3.0
3007,2017,SHASTA,77.0
3008,2018,SHASTA,96.0
3009,2019,SHASTA,90.0
3010,2020,SHASTA,102.0
3011,2022,SHASTA,81.0
3012,2017,SHASTA,861.0
3013,2018,SHASTA,797.0
3014,2019,SHASTA,858.0
3015,2020,SHASTA,716.0
3016,2022,SHASTA,758.0
3017,2017,SHASTA,0.0
3018,2018,SHASTA,0.0
3019,2017,SHASTA,9.0
3020,2018,SHASTA,9.0
3021,2019,SHASTA,5.0
3022,2020,SHASTA,1.0
3023,2021,SHASTA,0.0
3024,2022,SHASTA,0.0
3025,2021,SHASTA,0.0
3026,2022,SHASTA,0.0
3027,2017,SIERRA,27.0
3028,2018,SIERRA,25.0
3029,2019,SIERRA,20.0
3030,2020,SIERRA,24.0
3031,2022,SIERRA,8.0
3032,2017,SISKIYOU,171.0
3033,2018,SISKIYOU,160.0
3034,2019,SISKIYOU,169.0
3035,2020,SISKIYOU,137.0
3036,2022,SISKIYOU,75.0
3037,2017,SISKIYOU,2.0
3038,2018,SISKIYOU,0.0
3039,2019,SISKIYOU,1.0
3040,2020,SISKIYOU,3.0
3041,2022,SISKIYOU,2.0
3042,2017,SISKIYOU,5.0
3043,2018,SISKIYOU,0.0
3044,2019,SISKIYOU,1.0
3045,2020,SISKIYOU,0.0
3046,2022,SISKIYOU,3.0
3047,2018,SISKIYOU,0.0
3048,2020,SISKIYOU,2.0
3049,2022,SISKIYOU,0.0
3050,2017,SISKIYOU,1.0
3051,2018,SISKIYOU,0.0
3052,2019,SISKIYOU,2.0
3053,2020,SISKIYOU,1.0
3054,2022,SISKIYOU,0.0
3055,2017,SISKIYOU,2.0
3056,2018,SISKIYOU,1.0
3057,2019,SISKIYOU,1.0
3058,2020,SISKIYOU,2.0
3059,2022,SISKIYOU,2.0
3060,2017,SISKIYOU,36.0
3061,2018,SISKIYOU,22.0
3062,2019,SISKIYOU,27.0
3063,2020,SISKIYOU,18.0
3064,2022,SISKIYOU,26.0
3065,2017,SISKIYOU,2.0
3066,2019,SISKIYOU,0.0
3067,2017,SISKIYOU,42.0
3068,2018,SISKIYOU,45.0
3069,2019,SISKIYOU,37.0
3070,2020,SISKIYOU,29.0
3071,2022,SISKIYOU,24.0
3072,2017,SISKIYOU,70.0
3073,2018,SISKIYOU,84.0
3074,2019,SISKIYOU,81.0
3075,2020,SISKIYOU,70.0
3076,2022,SISKIYOU,104.0
3077,2017,SISKIYOU,5.0
3078,2018,SISKIYOU,20.0
3079,2019,SISKIYOU,6.0
3080,2020,SISKIYOU,13.0
3081,2022,SISKIYOU,6.0
3082,2017,SISKIYOU,0.0
3083,2021,SISKIYOU,0.0
3084,2022,SISKIYOU,7.0
3085,2021,SISKIYOU,0.0
3086,2022,SISKIYOU,2.0
3087,2017,SOLANO,269.0
3088,2018,SOLANO,296.0
3089,2019,SOLANO,141.0
3090,2020,SOLANO,129.0
3091,2022,SOLANO,114.0
3092,2017,SOLANO,111.0
3093,2018,SOLANO,101.0
3094,2019,SOLANO,99.0
3095,2020,SOLANO,78.0
3096,2022,SOLANO,59.0
3097,2017,SOLANO,101.0
3098,2018,SOLANO,101.0
3099,2019,SOLANO,71.0
3100,2020,SOLANO,96.0
3101,2021,SOLANO,75.0
3102,2022,SOLANO,103.0
3103,2017,SOLANO,1002.0
3104,2018,SOLANO,1086.0
3105,2019,SOLANO,928.0
3106,2020,SOLANO,832.0
3107,2022,SOLANO,899.0
3108,2017,SOLANO,46.0
3109,2018,SOLANO,37.0
3110,2019,SOLANO,37.0
3111,2020,SOLANO,29.0
3112,2022,SOLANO,38.0
3113,2017,SOLANO,199.0
3114,2018,SOLANO,151.0
3115,2019,SOLANO,144.0
3116,2020,SOLANO,170.0
3117,2022,SOLANO,167.0
3118,2017,SOLANO,527.0
3119,2018,SOLANO,459.0
3120,2019,SOLANO,458.0
3121,2020,SOLANO,421.0
3122,2022,SOLANO,467.0
3123,2017,SOLANO,690.0
3124,2018,SOLANO,617.0
3125,2019,SOLANO,508.0
3126,2020,SOLANO,454.0
3127,2022,SOLANO,391.0
3128,2017,SOLANO,0.0
3129,2018,SOLANO,0.0
3130,2022,SOLANO,0.0
3131,2021,SOLANO,0.0
3132,2022,SOLANO,0.0
3133,2021,SOLANO,5.0
3134,2022,SOLANO,20.0
3135,2017,SONOMA,791.0
3136,2018,SONOMA,786.0
3137,2019,SONOMA,692.0
3138,2020,SONOMA,598.0
3139,2022,SONOMA,466.0
3140,2017,SONOMA,50.0
3141,2018,SONOMA,39.0
3142,2019,SONOMA,38.0
3143,2020,SONOMA,31.0
3144,2022,SONOMA,20.0
3145,2017,SONOMA,60.0
