,county_name,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",agency_count,agency_count
112,MERCED,2021,14,74,1,4,0,10,20,10,0,0,1,3,0,0,0,5,0,0,1,0,0,0,0,3,20,0,0,0,1,6,0,2,2
113,MERCED,2022,24,210,0,12,0,35,80,50,0,0,5,2,0,0,0,10,0,0,2,1,0,0,1,4,59,16,0,0,9,25,2,2,2
114,MODOC,2017,29,103,0,4,0,2,6,23,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,5,9,1,1
115,MODOC,2018,33,123,0,4,0,3,10,33,7,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,15,3,0,0,2,12,5,1,1
116,MODOC,2019,28,118,0,5,0,2,8,16,11,0,3,0,0,0,0,2,0,1,1,0,0,0,1,1,7,4,0,0,2,14,1,1,1
117,MODOC,2020,18,89,2,4,0,1,4,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5,12,1,0,0,1,6,1,1,1
118,MODOC,2021,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
119,MODOC,2022,10,37,0,1,0,3,0,10,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,11,0,0,0,0,2,0,1,1
120,MONTEREY,2017,392,1134,10,203,0,41,444,1073,195,8,16,31,0,0,0,103,30,1,64,4,2,5,22,44,428,46,0,72,78,129,38,11,11
121,MONTEREY,2018,445,1267,10,173,0,26,454,1330,154,4,39,28,1,0,0,89,45,1,74,6,2,6,24,38,498,53,0,75,62,158,44,11,11
122,MONTEREY,2019,420,1229,5,157,0,35,442,1272,163,3,41,39,0,0,0,79,37,0,37,6,0,0,14,46,452,47,0,16,59,132,50,11,11
123,MONTEREY,2020,407,1064,8,140,0,27,353,1094,111,1,26,41,0,0,0,64,35,1,68,8,0,1,17,46,421,42,0,18,56,112,51,11,11
124,MONTEREY,2021,191,832,4,50,0,126,425,451,0,1,14,66,0,0,0,70,14,0,34,9,1,0,4,23,278,31,0,9,49,132,11,11,11
125,MONTEREY,2022,214,993,7,69,1,182,685,615,0,1,18,68,0,0,0,126,30,0,29,4,4,0,7,27,447,49,0,16,62,184,15,11,11
126,NEVADA,2017,34,331,1,14,0,7,75,170,107,1,0,11,0,0,0,114,8,0,31,0,1,0,0,4,89,11,0,11,23,4,6,1,1
127,NEVADA,2018,38,326,0,9,0,13,133,224,111,0,1,13,0,0,0,64,4,0,14,0,1,0,1,9,109,6,0,12,28,2,7,1,1
128,NEVADA,2019,65,365,2,17,0,12,89,217,152,0,3,16,0,0,0,52,6,0,7,2,1,0,1,5,136,11,0,19,32,7,11,1,1
129,NEVADA,2020,60,238,4,16,0,1,70,190,82,0,3,4,0,0,0,34,6,0,18,0,0,0,0,6,89,10,0,7,23,12,6,1,1
130,NEVADA,2021,7,14,0,2,0,12,8,22,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,4,1,0,0,4,1,0,1,1
131,NEVADA,2022,86,143,3,4,0,84,49,127,0,2,2,9,0,1,0,27,1,0,11,0,1,0,1,6,29,18,0,9,9,14,0,1,1
132,ORANGE,2017,1579,5846,27,1004,10,73,1591,6921,1171,16,153,195,1,0,0,1022,123,7,357,31,2,79,74,327,1792,570,0,161,472,668,238,8,8
133,ORANGE,2018,1594,6707,23,873,1,58,1676,8459,1167,10,158,208,21,0,0,967,107,1,278,14,2,80,73,298,1710,486,0,119,437,667,224,8,8
134,ORANGE,2019,1600,6102,33,920,12,45,1768,9015,1045,15,131,203,59,0,0,907,84,2,237,33,1,80,70,314,1672,401,0,77,439,587,232,8,8
135,ORANGE,2020,1445,4424,43,726,7,25,1265,7082,661,6,56,133,155,0,0,789,32,0,311,26,0,72,56,294,1442,399,0,78,472,627,179,8,8
136,ORANGE,2021,478,2504,12,87,0,223,662,1359,0,5,46,173,7,6,0,351,12,0,94,2,0,24,10,81,376,220,0,34,139,241,10,8,8
137,ORANGE,2022,1207,7555,38,307,18,880,1489,3513,0,16,93,396,6,6,2,830,43,0,245,13,2,109,31,242,1278,515,0,96,432,642,32,8,8
138,PLACER,2017,113,306,2,102,0,1,238,375,220,2,4,10,0,0,0,54,2,0,35,3,0,12,1,17,107,20,0,4,12,29,11,3,3
139,PLACER,2018,123,210,5,85,0,4,262,494,160,3,11,13,0,0,0,60,10,0,20,1,0,43,3,16,104,13,0,10,13,26,11,3,3
140,PLACER,2019,113,182,1,73,0,1,212,466,162,6,4,15,0,0,0,66,4,0,29,0,1,27,3,9,100,24,0,3,18,46,19,3,3
141,PLACER,2020,89,183,3,66,0,3,175,633,113,3,8,3,0,0,0,57,2,0,21,1,4,5,5,16,102,26,0,3,18,45,15,3,3
142,PLACER,2021,6,31,0,1,0,11,41,18,0,0,2,5,0,0,0,3,0,0,1,0,0,0,0,0,12,4,0,0,1,2,0,3,3
143,PLACER,2022,67,451,5,23,1,120,266,307,0,3,10,41,0,0,0,88,7,0,5,0,2,0,7,16,192,39,0,1,32,53,2,3,3
144,RIVERSIDE,2017,521,1987,3,189,0,8,495,1506,715,8,34,31,0,0,0,125,2,0,16,5,1,8,16,64,413,242,0,17,87,208,33,3,3
145,RIVERSIDE,2018,488,1924,3,170,0,3,331,1551,739,6,27,22,1,0,0,151,2,1,27,11,0,49,9,76,374,178,0,24,54,126,21,3,3
146,RIVERSIDE,2019,476,1439,4,214,0,50,335,1335,624,3,26,21,0,0,0,152,15,3,29,9,6,6,7,48,308,163,0,35,52,109,20,3,3
147,RIVERSIDE,2020,372,972,1,113,0,22,223,1142,566,4,11,12,0,0,0,99,5,0,23,8,1,0,7,40,226,253,0,14,46,124,19,3,3
148,RIVERSIDE,2021,231,1131,5,39,0,399,185,358,0,0,13,19,0,0,0,90,0,0,16,1,0,14,3,21,177,103,0,2,34,118,5,3,3
149,RIVERSIDE,2022,287,1594,1,58,0,794,265,329,0,0,12,23,0,0,0,132,4,0,22,2,2,14,5,44,266,159,0,2,61,146,9,3,3
150,SACRAMENTO,2017,221,665,0,41,0,2,1810,810,32,1,8,27,0,0,0,168,0,0,74,1,0,2,3,34,164,37,0,0,26,53,11,2,2
151,SACRAMENTO,2018,235,617,4,36,0,1,2393,854,30,5,11,24,0,0,0,153,12,1,64,1,0,3,9,41,178,36,0,1,26,47,27,2,2
152,SACRAMENTO,2019,256,720,7,62,3,2,2998,1069,54,5,18,125,0,0,0,158,13,6,49,2,1,5,5,44,261,50,0,3,55,73,22,2,2
153,SACRAMENTO,2020,242,671,12,45,0,24,2149,401,20,3,15,65,0,0,0,50,2,4,26,3,1,0,3,39,179,31,0,1,53,89,17,2,2
154,SACRAMENTO,2021,23,29,1,8,0,2,47,5,0,0,1,1,0,0,0,13,1,0,0,0,0,2,0,3,31,2,0,0,3,5,1,2,2
155,SACRAMENTO,2022,142,456,3,15,1,33,1014,138,0,4,9,11,0,0,0,114,2,2,22,1,0,0,1,26,202,70,0,1,39,44,4,2,2
156,SAN BENITO,2017,179,461,4,68,1,12,191,318,82,3,2,5,0,0,0,6,20,0,5,9,1,0,4,19,138,16,0,3,23,60,13,2,2
157,SAN BENITO,2018,161,329,1,36,0,7,314,311,69,0,6,5,0,0,0,13,6,0,6,1,0,0,3,9,154,16,0,5,19,59,20,2,2
