AGENCY_NAME,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)"
Angels Camp Police Department,2022,11,22,0,4,0,0,10,10,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,17,4,0,0,2,2,0
Antioch Police Department,2017,301,961,11,112,0,37,136,351,63,21,14,33,0,0,0,177,4,0,191,15,0,1,14,91,466,248,0,2,77,141,64
Antioch Police Department,2018,299,811,7,117,0,31,175,350,62,10,9,17,0,0,0,141,1,0,96,15,0,1,13,92,422,192,0,4,71,124,42
Antioch Police Department,2019,247,576,9,76,0,16,128,264,47,10,6,15,0,0,0,128,1,1,85,25,0,0,10,102,399,198,0,2,45,126,46
Antioch Police Department,2020,252,333,5,91,0,8,123,299,36,10,2,7,0,0,0,94,0,0,82,32,0,5,14,63,218,205,0,5,43,162,32
Antioch Police Department,2021,8,32,0,7,0,2,5,4,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,4,13,4,0,0,9,6,0
Antioch Police Department,2022,158,230,3,29,0,39,69,39,0,2,1,2,0,0,0,30,0,1,28,3,0,0,4,27,174,86,0,1,36,83,5
Arcadia Police Department,2017,53,221,1,121,1,1,74,227,75,1,10,19,0,0,0,198,3,1,29,1,0,0,2,14,49,24,0,4,7,13,9
Arcadia Police Department,2018,39,225,3,108,0,2,97,204,84,1,14,13,0,0,0,151,1,0,33,1,0,0,4,10,51,9,0,0,11,10,6
Arcadia Police Department,2019,67,250,2,93,0,0,88,170,99,1,15,11,0,0,0,129,2,0,31,1,0,0,1,12,44,18,0,1,7,12,2
Arcadia Police Department,2020,43,91,1,40,0,0,35,63,42,0,4,12,0,0,0,37,0,0,25,1,0,0,3,4,49,5,0,1,8,9,4
Arcadia Police Department,2021,28,239,3,31,0,74,53,38,0,1,2,21,0,0,0,77,0,1,18,0,1,1,1,9,39,10,0,0,17,11,2
Arcadia Police Department,2022,23,237,3,39,0,99,29,17,0,0,0,6,0,0,0,84,0,0,11,0,0,0,1,9,66,34,0,2,22,7,3
Arcata Police Department,2017,60,525,4,8,0,5,125,218,156,1,3,4,0,0,0,61,3,0,8,1,0,0,2,10,93,19,0,3,21,26,2
Arcata Police Department,2018,55,562,6,15,0,11,118,118,102,0,2,2,0,0,0,98,2,0,10,1,0,0,2,4,67,16,0,1,23,23,7
Arcata Police Department,2019,47,578,4,16,0,4,103,156,91,3,0,6,0,0,0,68,11,0,13,1,0,0,0,9,68,11,0,9,22,12,6
Arcata Police Department,2020,54,257,3,13,0,0,63,101,27,1,0,2,0,0,0,18,2,0,16,2,0,0,1,14,40,14,0,1,8,12,4
Arcata Police Department,2022,36,128,6,3,0,239,88,118,2,0,0,5,0,0,0,29,0,0,9,2,1,0,2,17,76,18,0,0,22,15,1
Arroyo Grande Police Department,2017,34,109,0,15,0,3,120,144,108,0,10,2,0,0,0,36,5,0,5,0,0,0,0,3,42,5,0,7,4,8,7
Arroyo Grande Police Department,2018,39,77,2,4,0,2,80,111,53,0,9,3,0,0,0,41,16,0,4,0,0,0,2,1,39,12,0,13,8,10,10
Arroyo Grande Police Department,2019,39,67,1,5,0,0,104,100,45,0,10,4,0,0,0,20,9,0,6,0,0,0,0,7,22,8,0,10,7,5,5
Arroyo Grande Police Department,2020,24,75,2,6,0,0,72,112,26,0,6,1,0,0,0,13,3,0,1,0,0,0,1,2,18,3,0,9,6,13,8
Arroyo Grande Police Department,2021,27,35,0,0,0,29,1,33,0,0,1,1,0,0,0,8,0,0,3,0,0,0,1,0,19,8,0,2,1,4,1
Arroyo Grande Police Department,2022,24,31,1,5,0,49,0,51,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,1,15,1,0,3,9,9,0
Arvin Police Department,2017,64,71,0,5,0,0,37,27,11,0,0,0,0,0,0,14,0,0,12,3,0,0,1,5,45,6,0,0,5,14,3
Arvin Police Department,2018,60,101,0,11,1,5,10,22,18,0,0,1,0,0,0,10,1,0,7,1,0,0,1,13,28,5,0,0,8,19,2
Arvin Police Department,2019,74,93,1,5,1,1,20,22,17,0,2,1,0,0,0,4,4,0,14,0,0,0,0,2,39,4,0,0,8,17,5
Arvin Police Department,2020,80,119,0,6,2,4,36,27,14,0,1,2,0,0,0,3,1,0,4,0,0,0,0,6,56,14,0,0,15,20,2
Arvin Police Department,2022,42,86,1,6,0,0,27,13,12,0,2,0,0,0,0,3,3,0,13,0,1,0,2,4,37,2,0,0,9,15,2
Atascadero Police Department,2017,67,440,0,8,0,4,95,192,94,0,2,2,0,0,0,40,1,0,5,0,0,0,2,14,49,10,0,6,16,4,6
Atascadero Police Department,2018,52,532,1,10,0,1,133,262,77,0,0,5,0,0,0,34,0,0,15,0,0,0,3,6,54,16,0,12,7,8,3
Atascadero Police Department,2019,41,353,0,9,0,2,132,224,71,1,0,6,0,0,0,28,1,0,18,0,0,0,1,6,47,9,0,11,8,13,4
Atascadero Police Department,2020,45,208,0,7,0,1,118,294,60,0,1,5,0,0,0,20,0,0,8,0,0,0,0,6,45,6,0,8,10,11,4
Atascadero Police Department,2021,13,69,1,1,0,40,114,126,0,0,1,1,0,0,0,15,0,0,3,0,0,0,0,3,23,0,0,4,0,13,1
Atascadero Police Department,2022,38,59,1,9,0,47,70,112,0,1,0,6,0,0,0,12,0,0,2,0,0,0,2,3,28,3,0,0,5,8,0
Atherton Police Department,2017,1,9,0,0,0,0,14,23,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,1
Atherton Police Department,2018,2,22,0,2,0,1,25,22,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,4,3,2,0,0,0,3,0
Atherton Police Department,2019,1,31,0,2,0,0,17,18,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,1,3,0,1,1,3,0
Atherton Police Department,2020,3,9,0,3,0,0,15,28,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0
Atherton Police Department,2022,1,29,0,0,0,4,51,20,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,7,12,0,0,0,9,0
Auburn Police Department,2017,29,218,0,22,0,1,95,87,122,0,2,0,0,0,0,6,1,0,6,2,0,1,1,4,43,5,0,2,5,4,5
