,county_name,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",agency_count
195,SACRAMENTO,2022,4291,3319,134,619,1,148,2468,2808,72,41,70,142,0,1,0,833,51,6,422,61,3,102,55,675,3004,818,0,10,740,1336,296,10
196,SAN BENITO,2017,179,461,4,68,1,12,191,318,82,3,2,5,0,0,0,6,20,0,5,9,1,0,4,19,138,16,0,3,23,60,13,2
197,SAN BENITO,2018,161,329,1,36,0,7,314,311,69,0,6,5,0,0,0,13,6,0,6,1,0,0,3,9,154,16,0,5,19,59,20,2
198,SAN BENITO,2019,152,439,1,42,0,9,177,281,42,1,12,4,1,0,0,18,9,1,8,1,1,0,6,17,150,9,0,5,19,58,16,2
199,SAN BENITO,2020,120,281,5,33,0,9,114,224,65,2,4,6,0,0,0,10,4,1,2,1,1,0,4,10,151,14,0,1,25,26,14,2
200,SAN BENITO,2021,62,433,5,8,0,80,168,154,0,1,3,10,0,0,0,15,3,0,3,0,1,0,3,6,146,11,0,2,16,41,1,2
201,SAN BENITO,2022,48,368,3,13,0,74,191,151,0,0,4,4,0,0,0,27,6,0,2,1,1,0,3,3,172,8,0,4,31,58,3,2
202,SAN BERNARDINO,2017,4511,10664,74,1778,3,103,2902,11113,2282,52,208,692,41,0,0,2151,71,24,822,112,16,490,147,765,3566,1499,0,122,650,1536,471,12
203,SAN BERNARDINO,2018,4693,10395,95,1758,0,104,3092,11653,1837,65,229,375,31,0,0,2088,103,25,897,84,14,388,158,807,3851,1477,0,129,669,1465,476,12
204,SAN BERNARDINO,2019,4438,7544,85,1771,11,86,2760,10754,1695,51,190,423,40,0,0,1925,106,20,873,91,17,268,129,810,3789,1300,0,56,630,1412,478,12
205,SAN BERNARDINO,2020,4234,6009,107,1308,0,52,2218,8465,1159,47,98,257,36,0,0,1305,53,23,763,109,11,411,150,714,3126,1079,0,65,689,1497,407,12
206,SAN BERNARDINO,2021,467,3118,9,130,0,336,628,1511,0,8,41,116,5,0,0,374,31,1,57,9,1,1,27,139,677,390,0,34,167,276,24,6
207,SAN BERNARDINO,2022,3574,8822,100,1067,0,934,2337,6273,638,65,132,282,6,0,0,1681,56,26,682,109,8,220,134,681,3546,1530,0,55,835,2071,372,12
208,SAN DIEGO,2017,6331,20906,88,1313,332,127,4387,14810,5600,37,185,299,9,0,0,4205,459,6,1078,61,1,231,105,972,5988,578,0,2061,978,1658,508,14
209,SAN DIEGO,2018,6178,18597,103,1138,191,174,3873,15568,5966,41,132,260,9,0,0,3905,289,4,966,61,3,228,118,993,5560,628,0,2421,957,1599,462,14
210,SAN DIEGO,2019,6118,18193,89,1083,164,191,3736,15829,7231,45,171,318,10,0,0,4021,383,5,969,57,3,218,111,1013,5362,573,0,1935,1068,1592,500,14
211,SAN DIEGO,2020,6308,10541,131,1018,165,238,3226,16669,5398,43,110,204,2,0,0,2521,238,4,1028,92,3,153,76,804,4395,606,0,1044,1118,1558,365,14
212,SAN DIEGO,2021,1694,34932,72,563,53,5691,5175,8417,0,11,117,342,9,0,0,1365,175,0,493,51,3,186,42,506,4275,629,0,311,689,1439,62,12
213,SAN DIEGO,2022,3016,18327,120,799,13,5479,4389,8164,19,21,120,311,6,0,1,1919,185,1,614,66,2,102,43,894,6899,1010,0,428,1218,1622,115,14
214,SAN FRANCISCO,2017,1578,6889,35,518,0,26,351,750,468,6,34,28,1,0,0,612,27,1,203,38,0,214,31,361,1269,114,0,53,370,245,66,3
215,SAN FRANCISCO,2018,1572,6714,36,529,0,20,328,962,437,8,28,22,6,0,0,549,23,3,230,33,4,128,40,348,1136,98,0,125,365,315,70,3
216,SAN FRANCISCO,2019,1515,6833,42,485,0,36,313,952,330,1,24,37,0,0,0,576,16,6,217,34,2,161,28,351,1584,129,0,111,409,299,78,3
217,SAN FRANCISCO,2020,1140,4315,49,455,0,107,217,651,132,2,22,16,0,0,0,263,12,2,322,35,0,31,21,251,1135,130,0,46,418,223,60,3
218,SAN FRANCISCO,2021,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,2,1,0,1
219,SAN FRANCISCO,2022,1296,2989,48,476,0,16,319,1429,17,0,17,34,1,0,0,433,18,7,257,72,3,21,22,294,1599,215,0,18,425,293,63,3
220,SAN JOAQUIN,2017,2271,5064,59,769,3,161,952,2075,1850,15,63,128,4,0,0,681,47,3,171,42,7,71,52,430,2166,622,0,38,384,833,187,8
221,SAN JOAQUIN,2018,2295,4942,35,688,0,70,969,2132,1444,12,32,97,8,0,0,594,61,5,152,45,25,134,63,528,2050,517,0,29,384,828,176,8
222,SAN JOAQUIN,2019,2294,4851,51,663,0,71,1031,2184,1118,17,47,76,10,0,0,500,65,1,141,26,2,66,55,463,2021,483,0,22,390,846,227,8
223,SAN JOAQUIN,2020,2338,3846,47,484,0,46,932,1703,961,9,37,44,24,0,0,353,21,3,131,41,2,57,56,438,1749,440,0,7,420,858,221,8
224,SAN JOAQUIN,2021,596,1071,15,119,0,546,486,268,0,8,10,35,0,3,1,182,6,0,126,13,1,30,27,136,706,123,0,7,228,439,33,2
225,SAN JOAQUIN,2022,1596,3211,38,374,1,712,687,1052,281,24,31,110,4,0,0,394,9,2,317,45,5,15,54,341,1418,344,0,7,382,693,93,7
226,SAN LUIS OBISPO,2017,539,2504,6,277,0,31,920,2519,1418,5,45,65,0,0,0,283,170,0,54,1,0,0,19,50,542,114,0,270,121,122,83,10
227,SAN LUIS OBISPO,2018,500,2328,11,237,0,23,946,2283,1085,1,62,75,0,0,0,240,108,0,52,2,0,0,24,42,571,117,0,171,100,142,57,10
228,SAN LUIS OBISPO,2019,473,2131,8,208,0,45,976,2179,907,4,73,70,0,0,0,245,57,0,66,4,0,8,16,37,499,76,0,41,115,151,42,9
229,SAN LUIS OBISPO,2020,541,1873,9,138,0,26,811,2081,702,3,103,41,1,0,0,138,50,0,47,8,0,2,11,28,435,80,0,35,127,146,46,10
